"mechanical.illinois.edu","http://mechanical.illinois.edu"
"- Micro and Nanotechnology Laboratory","http://mntl.illinois.edu"
"Materials Research Laboratory at Illinois","http://mrl.illinois.edu"
"Home Page, MSTE, University of Illinois","http://mste.illinois.edu"
"MURI","http://muri.ece.illinois.edu"
"Welcome  | Nano @ Illinois","http://nano.illinois.edu"
"Nessie Home","http://nessie.uihr.uillinois.edu"
"Neuroscience Program - University of Illinois","http://neuroscience.illinois.edu"
"News Bureau | ILLINOIS","http://news.illinois.edu"
"Department of Nuclear, Plasma, and Radiological Engineering - NPRE Illinois","http://npre.illinois.edu"
"Department of Natural Resources and Environmental Sciences :: College of ACES, University of Illinois","http://nres.illinois.edu"
"Office of the Chancellor | University of Illinois at Urbana-Champaign","http://oc.illinois.edu"
"OCCRL - Office of Community College Research and Leadership | College of Education | U of I","http://occrl.illinois.edu"
"University of Illinois | Degrees, Certificates, and Courses Offered Online from Illinois Online","http://oce.illinois.edu"
"Office of Inclusion and Intercultural Relations | University of Illinois at Urbana-Champaign","http://oiir.illinois.edu"
"Online Master of Science Teaching Biology Program | Online Master of Science Teaching Biology Program | University of Illinois","http://omst.sib.illinois.edu"
"Home - PAY MY BILL Home","http://paymybill.uillinois.edu"
"Physics Illinois | University of Illinois at Urbana-Champaign","http://physics.illinois.edu"
"Home Page | Illinois Professional Science Master s","http://psm.illinois.edu"
"Home | Public Affairs | Illinois","http://publicaffairs.illinois.edu"
"Main | Public Safety | Illinois","http://publicsafety.illinois.edu"
"Home Page | Office of the Vice Chancellor for Research","http://research.illinois.edu"
"Research Park | University of Illinois Urbana Champaign","http://researchpark.illinois.edu"
"University of Illinois, NROTC - Home","http://rotc.navy.illinois.edu"
"Speech  and Hearing Science","http://shs.illinois.edu"
"School of Integrative Biology | University of Illinois at Urbana-Champaign","http://sib.illinois.edu"
"Home | Student Affairs | University of Illinois","http://studentaffairs.illinois.edu"
"Campus Programs on Teaching and Learning, University of Illinois at Urbana-Champaign","http://teachingandlearning.illinois.edu"
"Top Scholars","http://topscholars.illinois.edu"
"Center for Training and Professional Development - University of Illinois","http://trainingcenter.illinois.edu"
"Illini Union","http://union.illinois.edu"
"Office of the Vice Chancellor for Institutional Advancement // University of Illinois at Urbana-Champaign","http://vcia.illinois.edu"
"University of Illinois College of Veterinary Medicine - A leader in veterinary and comparative biomedical education, scholarship, and public engagement.","http://vetmed.illinois.edu"
"University of Illinois Extension","http://web.extension.illinois.edu"
"Microsoft Internet Information Services 8","http://web.library.illinois.edu"
"Home | University of Illinois Webstore","http://webstore.illinois.edu"
"Home Page - Illinois Public Media","http://will.illinois.edu"
"Center for Wounded Veterans","http://woundedvetcenter.ahs.illinois.edu"
"Department of Agricultural and Consumer Economics :: College of ACES, University of Illinois","http://ace.illinois.edu"
"College of Agricultural, Consumer and Environmental Sciences, University of Illinois at Urbana-Champaign","http://aces.illinois.edu"
"Welcome | Department of African-American Studies | University of Illinois","http://afro.illinois.edu"
"Welcome | Center for African Studies | University of Illinois","http://afrst.illinois.edu"
"Academic Human Resources - University of Illinois","http://ahr.illinois.edu"
"APPLIED HEALTH SCIENCES","http://ahs.illinois.edu"
"id="pagetitle">Welcome to the American Indian Studies Program | American Indian Studies Program | University of Illinois","http://ais.illinois.edu"
"Home - AITS","http://aits.uillinois.edu"
"Department of Animal Sciences, College of ACES :: University of Illinois","http://ansci.illinois.edu"
"Welcome | The Department of Anthropology, University of Illinois","http://anthro.illinois.edu"
"University of Illinois Arboretum","http://arboretum.illinois.edu"
"The Illinois School of Architecture","http://arch.illinois.edu"
"Welcome to Asian American Studies | Department of Asian American Studies | University of Illinois","http://asianam.illinois.edu"
"Homepage "
  ATLAS, College of LAS, University of Illinois","http://atlas.illinois.edu"
"Home - The Department of Atmospheric Sciences at Illinois","http://atmos.illinois.edu"
"Home - Office of University Audits","http://audits.uillinois.edu"
"Institute of Aviation, Illinois - Home","http://aviation.illinois.edu"
"Illinois Bands","http://bands.illinois.edu"
"home | Biotech Center","http://biotech.illinois.edu"
"Home | The University of Illinois Board of Trustees","http://bot.uillinois.edu"
"Campus Recreation | University of Illinois","http://campusrec.illinois.edu"
"Council of Academic Professionals","http://cap.illinois.edu"
"Home | The Career Center","http://careercenter.illinois.edu"
"NO TITLE 162","http://carli.illinois.edu"
"CAS","http://cas.illinois.edu"
"U of I Center for Economic and Financial Education: University of Illinois","http://cefe.illinois.edu"
"Home | Private Certified Housing","http://certified.housing.illinois.edu"
"Children and Family Research Center at the University of Illinois at Urbana-Champaign, School of Social Work","http://cfrc.illinois.edu"
"Center for Global Studies - Illinois","http://cgs.illinois.edu"
"Department of Chemical and Biomolecular Engineering at Illinois","http://chbe.illinois.edu"
"Office of the CIO | Technology Services at Illinois","http://cio.illinois.edu"
"CITES | Campus Information Technologies and Educational Services | Illinois","http://cites.illinois.edu"
"Home | Center for Latin American  and Caribbean Studies, University of Illinois at Urbana-Champaign","http://clacs.illinois.edu"
"Welcome | "
Department of the Classics | University of Illinois","http://classics.illinois.edu"
"Home | Cline Center for Democracy | University of Illinois","http://clinecenter.illinois.edu"
"Home | Department of Communication | University of Illinois","http://communication.illinois.edu"
"NO TITLE 176","http://complit.illinois.edu"
"Office For Student Conflict Resolution, University of Illinois at Urbana-Champaign","http://conflictresolution.illinois.edu"
"Council on Teacher Education: University of Illinois at Urbana-Champaign","http://cote.illinois.edu"
"Counseling Center","http://counselingcenter.illinois.edu"
"C P R D Home - CPRD","http://cprd.illinois.edu"
"Homepage   CSAMES, College of LAS, University of Illinois","http://csames.illinois.edu"
"cse.illinois.edu","http://cse.illinois.edu"
"Coordinated Science Lab, Illinois","http://csl.illinois.edu"
"The Center for Writing Studies, University of Illinois","http://cws.illinois.edu"
"Division of Animal Resources (DAR) | Office of the Vice Chancellor for Research","http://dar.illinois.edu"
"Disability Resources  and Educational Services - University of Illinois","http://disability.illinois.edu"
"Division of Management Information","http://dmi.illinois.edu"
"Main | Public Safety | Illinois","http://dps.illinois.edu"
"What's New from DRI - Disability Research Institute - University of Illinois at Urbana-Champaign","http://dri.illinois.edu"
"Division of Research Safety - Illinois","http://drs.illinois.edu"
"Welcome | East Asian Languages and Cultures | University of Illinois","http://ealc.illinois.edu"
"Home | CEAPS | University of Illinois","http://eaps.illinois.edu"
"Home - EARTH","http://earth.illinois.edu"
"Chief Information Officer - University of Illinois","http://ecio.uillinois.edu"
"Welcome to Economics | Economics | University of Illinois","http://economics.illinois.edu"
"College Home | College of Education | U of I","http://ed.illinois.edu"
"Welcome to English   Department of English, College of LAS, University of Illinois","http://english.illinois.edu"
"University Ethics and Compliance Office - University of Ill...","http://ethics.uillinois.edu"
"European Union Center, University of Illinois","http://euc.illinois.edu"
"Welcome to Foellinger Auditorium at the University of Illinois at Urbana-Champaign","http://foellinger.illinois.edu"
"Welcome to  | Department of  | University of Illinois","http://frit.illinois.edu"
"University of Illinois Fire Service Institute","http://fsi.illinois.edu"
"Home - Geography and GIScience","http://geog.illinois.edu"
"Home - GEOLOGY","http://geology.illinois.edu"
"Home Department of Germanic Languages and Literatures, University of Illinois at Urbana-Champaign","http://germanic.illinois.edu"
